timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,anomaly_score,is_anomaly,alert_level
1719729724.043165,192.168.238.128,192.168.238.155,40001,691,TCP,2,0.0,0,NORMAL
1719729724.043606,192.168.238.128,192.168.238.155,40001,2035,TCP,2,0.0,0,NORMAL
1719729724.043633,192.168.238.128,192.168.238.155,40001,1287,TCP,2,0.0,0,NORMAL
1719729724.043736,192.168.238.128,192.168.238.155,40001,5910,TCP,2,0.0,0,NORMAL
1719729724.043761,192.168.238.128,192.168.238.155,40001,425,TCP,2,0.0,0,NORMAL
1719729724.043864,192.168.238.128,192.168.238.155,40001,4900,TCP,2,0.0,0,NORMAL
1719729724.043889,192.168.238.128,192.168.238.155,40001,8021,TCP,2,0.0,0,NORMAL
1719729724.043995,192.168.238.128,192.168.238.155,40001,6666,TCP,2,0.0,0,NORMAL
1719729724.04402,192.168.238.128,192.168.238.155,40001,481,TCP,2,0.0,0,NORMAL
1719729724.044123,192.168.238.128,192.168.238.155,40001,15000,TCP,2,0.0,0,NORMAL
1719729724.044148,192.168.238.128,192.168.238.155,40001,648,TCP,2,0.0,0,NORMAL
1719729724.044249,192.168.238.128,192.168.238.155,40001,3390,TCP,2,0.0,0,NORMAL
1719729724.044275,192.168.238.128,192.168.238.155,40001,1494,TCP,2,0.0,0,NORMAL
1719729724.044379,192.168.238.128,192.168.238.155,40001,1058,TCP,2,0.0,0,NORMAL
1719729724.044403,192.168.238.128,192.168.238.155,40001,1154,TCP,2,0.0,0,NORMAL
1719729724.044507,192.168.238.128,192.168.238.155,40001,6567,TCP,2,0.0,0,NORMAL
1719729724.044533,192.168.238.128,192.168.238.155,40001,1000,TCP,2,0.0,0,NORMAL
1719729724.044651,192.168.238.128,192.168.238.155,40001,2010,TCP,2,0.0,0,NORMAL
1719729724.044679,192.168.238.128,192.168.238.155,40001,5850,TCP,2,0.0,0,NORMAL
1719729724.044931,192.168.238.128,192.168.238.155,40001,5405,TCP,2,0.0,0,NORMAL
1719729724.044956,192.168.238.128,192.168.238.155,40001,5030,TCP,2,0.0,0,NORMAL
1719729724.045057,192.168.238.128,192.168.238.155,40001,1719,TCP,2,0.0,0,NORMAL
1719729724.045084,192.168.238.128,192.168.238.155,40001,8022,TCP,2,0.0,0,NORMAL
1719729724.045166,192.168.238.128,192.168.238.155,40001,13783,TCP,2,0.0,0,NORMAL
1719729724.04519,192.168.238.128,192.168.238.155,40001,306,TCP,2,0.0,0,NORMAL
1719729724.045297,192.168.238.128,192.168.238.155,40001,1166,TCP,2,0.0,0,NORMAL
